id,aff,状态,冻结元宝,优惠券id,type,城市代码,管理员
"14109","117387003","初始","100","","1","",""
"14108","507007888","初始","200","","1","",""
"14107","507002696","初始","100","","1","",""
"14106","403713746","初始","200","","1","",""
"14105","506981847","初始","100","","1","",""
"14104","506067288","初始","100","","1","",""
"14103","506971909","初始","100","","1","",""
"14102","365136400","初始","300","","1","",""
"14101","506928344","初始","100","","1","",""
"14100","331162078","初始","100","","1","",""
"14099","506046870","初始","100","","1","",""
"14098","187009851","初始","100","","1","",""
"14097","506868226","取消","100","0","1","",""
"14096","496691847","初始","100","","1","",""
"14095","506525186","初始","100","","1","",""
"14094","506868226","取消","100","0","1","",""
"14093","179460791","初始","100","","1","",""
"14092","504971324","初始","100","","1","",""
"14091","506841764","初始","200","","1","",""
"14090","440788869","初始","100","","1","",""
"14089","432557753","初始","100","","1","",""
"14088","432557753","初始","100","","1","",""
"14087","462186000","初始","100","","1","",""
"14086","427341088","初始","100","","1","",""
"14085","506800701","初始","100","","1","",""
"14084","273196099","初始","100","","1","",""
"14083","506722301","初始","100","","1","",""
"14082","506156923","初始","100","","1","",""
"14081","506336828","初始","100","","1","",""
"14080","506336828","初始","100","","1","",""
"14079","316401811","初始","100","","1","",""
"14078","506678080","初始","100","","1","",""
"14077","502580786","初始","100","","1","",""
"14076","505823078","初始","100","","1","",""
"14075","506568589","初始","100","","1","",""
"14074","297751328","初始","100","","1","",""
"14073","392996299","初始","100","","1","",""
"14072","505649197","初始","100","","1","",""
"14071","449596706","初始","100","","1","",""
"14070","400790925","初始","100","","1","",""
"14069","468108900","初始","200","","1","",""
"14068","389242069","初始","100","","1","",""
"14067","506538935","初始","100","","1","",""
"14066","99751762","初始","200","","1","",""
"14065","506538935","初始","100","","1","",""
"14064","506525186","取消","100","0","1","",""
"14063","487310337","初始","100","","1","",""
"14062","500915808","初始","100","","1","",""
"14061","373472118","初始","100","","1","",""
"14060","115040044","初始","100","","1","",""
"14059","503793945","初始","100","","1","",""
"14058","435769260","初始","100","","1","",""
"14057","503793945","初始","100","","1","",""
"14056","504294044","初始","100","","1","",""
"14055","450907364","初始","100","","1","",""
"14054","504455042","初始","100","","1","",""
"14053","506210190","初始","100","","1","",""
"14052","505634061","初始","100","","1","",""
"14051","472113899","初始","100","","1","",""
"14050","506185435","初始","100","","1","",""
"14049","409146641","初始","100","","1","",""
"14048","446618742","初始","100","","1","",""
"14047","149044032","初始","100","","1","",""
"14046","506157394","初始","100","","1","",""
"14045","404408427","初始","100","","1","",""
"14044","506048192","初始","100","","1","",""
"14043","506048192","初始","100","","1","",""
"14042","506149899","初始","100","","1","",""
"14041","487144720","初始","200","","1","",""
"14040","504455042","初始","100","","1","",""
"14039","505548471","初始","100","","1","",""
"14038","108374548","初始","100","","1","",""
"14037","476756639","初始","100","","1","",""
"14036","476756639","初始","200","","1","",""
"14035","506048192","取消","200","0","1","",""
"14034","45049042","初始","100","","1","",""
"14033","506057200","初始","200","","1","",""
"14032","101019065","初始","100","","1","",""
"14031","505402284","初始","100","","1","",""
"14030","506038977","初始","100","","1","",""
"14029","393665016","初始","100","","1","",""
"14028","505350617","初始","100","","1","",""
"14027","506001232","初始","100","","1","",""
"14026","506006601","初始","200","","1","",""
"14025","506014445","初始","100","","1","",""
"14024","409146641","初始","100","","1","",""
"14023","505443066","初始","100","","1","",""
"14022","505443066","初始","100","","1","",""
"14021","505443066","初始","100","","1","",""
"14020","505443066","初始","100","","1","",""
